status,country,from_name,to_name,reason,score,occurrences,sample_files,,
approve,HUN,Lenkei Zsolt,Zsolt Lenkei,iof-exact,exact,1,2002/relay.csv,,
approve,HUN,Miavecz Balazs,Balazs Miavecz,iof-exact,exact,1,2014/relay.csv,,
approve,HUN,Weiler Virag,Virag Weiler,iof-exact,exact,1,2014/relay.csv,,
approve,IRL,Aoife Mc Cavana,Aoife McCavana,iof-exact,exact,5,"2013/long.csv, 2013/relay.csv, 2013/sprint.csv, 2014/long.csv",,
approve,IRL,Eadaoin Mccavana,Eadaoin McCavana,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,IRL,Eadaoin Mc Cavana,Eadaoin McCavana,iof-exact,exact,2,"2015/long.csv, 2015/sprint.csv",,
approve,IRL,Aidan Mccullough,Aidan McCullough,iof-exact,exact,1,2017/long.csv,,
approve,ISR,Segal Eran,Eran Segal,iof-exact,exact,1,2010/relay.csv,,
approve,ISR,Yasur Nitsan,Nitsan Yasur,iof-exact,exact,1,2010/relay.csv,,
approve,ITA,Silvia di Stefano,Silvia Di Stefano,iof-exact,exact,8,"2022/long.csv, 2022/sprint.csv, 2023/long.csv, 2023/relay.csv",,
approve,ITA,Mannocci Enrico,Enrico Mannocci,iof-exact,exact,6,"2016/long.csv, 2016/relay.csv, 2016/sprint.csv, 2017/long.csv",,
approve,ITA,Roberto Dalla Valle,Roberto Dallavalle,iof-exact,exact,6,"2006/long.csv, 2006/relay.csv, 2006/sprint.csv, 2007/long.csv",,
approve,ITA,Magenes Francesco,Francesco Magenes,iof-exact,exact,5,"2016/long.csv, 2016/relay.csv, 2016/sprint.csv, 2017/long.csv",,
approve,ITA,Marco Anselmo di Stefano,Marco Anselmo Di Stefano,iof-exact,exact,5,"2019/long.csv, 2019/relay.csv, 2019/sprint.csv, 2022/long.csv",,
approve,ITA,Pradel Anna,Anna Pradel,iof-exact,exact,5,"2016/relay.csv, 2016/sprint.csv, 2017/long.csv, 2017/relay.csv",,
approve,ITA,Selem Alice,Alice Selem,iof-exact,exact,5,"2016/long.csv, 2016/relay.csv, 2016/sprint.csv, 2017/long.csv",,
approve,ITA,Bettega Damiano,Damiano Bettega,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ITA,Scalzotto Annarita,Annarita Scalzotto,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ITA,Stefano Marco Anselmo di,Marco Anselmo Di Stefano,iof-exact,exact,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,ITA,Tait Samuele,Samuele Tait,iof-exact,exact,3,"2015/long.csv, 2015/relay.csv, 2015/sprint.csv",,
approve,ITA,Giacomo Zangonel,Giacomo Zagonel,iof-exact,exact,2,"2008/long.csv, 2008/sprint.csv",,
approve,ITA,Lambertini Sebastiano,Sebastiano Lambertini,iof-exact,exact,1,2022/long.csv,,
approve,LAT,Artus Paulins,Arturs Paulins,iof-exact,exact,3,"2006/long.csv, 2006/relay.csv, 2006/sprint.csv",,
approve,LAT,Anatolis Tarasovs,Anatolijs Tarasovs,iof-exact,exact,1,2002/relay.csv,,
approve,LTU,Barauskas Rokas,Rokas Barauskas,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,LTU,Kausakys Dovydas,Dovydas Kausakys,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,LTU,Traubaite Judita,Judita Traubaite,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,LTU,Casas Adomas,Adomas Casas,iof-exact,exact,2,"2017/long.csv, 2017/sprint.csv",,
approve,LTU,Skucaite Ugne,Ugne Skucaite,iof-exact,exact,2,"2017/long.csv, 2017/sprint.csv",,
approve,LTU,Emilija Gvildyte Tekle,Tekle Emilija Gvildyte,iof-exact,exact,1,2007/relay.csv,,
approve,LTU,Germanavicius Prana,Pranas Germanavicius,iof-exact,exact,1,2017/relay.csv,,
approve,LTU,Germanavicius Pranas,Pranas Germanavicius,iof-exact,exact,1,2017/long.csv,,
approve,LTU,Pran Germanavicius,Pranas Germanavicius,iof-exact,exact,1,2016/relay.csv,,
approve,MDA,Anatolii Fomiciov,Anatoli Fomiciov,iof-exact,exact,2,"2015/long.csv, 2015/sprint.csv",,
approve,MDA,Dimitru Donici,Dumitru Donici,iof-exact,exact,2,"2014/long.csv, 2014/sprint.csv",,
approve,MDA,Mirza Lucian,Lucian Mirza,iof-exact,exact,2,"2016/long.csv, 2016/sprint.csv",,
approve,MDA,Anatoli Fomicov,Anatoli Fomiciov,iof-exact,exact,1,2014/relay.csv,,
approve,MDA,Anatolii Fomicio,Anatoli Fomiciov,iof-exact,exact,1,2015/relay.csv,,
approve,MDA,Donici Dimitru,Dumitru Donici,iof-exact,exact,1,2014/relay.csv,,
approve,MDA,Vasili Fomicov,Vasili Fomiciov,iof-exact,exact,1,2014/relay.csv,,
approve,NOR,Forseth Indgaard Ulf,Ulf Forseth Indgaard,iof-exact,exact,1,2007/relay.csv,,
approve,NOR,Marie Claussen,Marie Olaussen,iof-exact,exact,1,2014/relay.csv,,
approve,NOR,Tilla Farne Hennum,Tilla Farnes Hennum,iof-exact,exact,1,2016/relay.csv,,
approve,POL,Zuzanna Waaczyk,Zuzanna Wanczyk,iof-exact,exact,2,"2011/long.csv, 2011/sprint.csv",,
approve,POL,Aleksandra Hormik,Aleksandra Hornik,iof-exact,exact,1,2014/relay.csv,,
approve,POL,Krystian Petersburs,Krystian Petersburski,iof-exact,exact,1,2017/relay.csv,,
approve,POL,Radoslaw Piotrovski,Radoslaw Piotrowski,iof-exact,exact,1,2014/relay.csv,,
approve,POR,Jorge Furtunato,Jorge Fortunato,iof-exact,exact,3,"2007/long.csv, 2007/relay.csv, 2007/sprint.csv",,
approve,POR,Joao Bernandino,Joao Bernardino,iof-exact,exact,2,"2014/long.csv, 2014/relay.csv",,
approve,ROU,Biro Alexandru,Alexandru Biro,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ROU,Catana Alexandru,Alexandru Catana,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ROU,Copetchi Stefan,Stefan Copetchi,iof-exact,exact,3,"2012/long.csv, 2012/relay.csv, 2012/sprint.csv",,
approve,ROU,Divin Judit,Judit Divin,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ROU,Galateanu Daria,Daria Galateanu,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ROU,Szikszai Csongor,Csongor Szikszai,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ROU,Szocs Attila,Attila Szocs,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,ROU,Andrei Mihai Tintar,Mihai Andrei Tintar,iof-exact,exact,2,"2014/long.csv, 2014/sprint.csv",,
approve,ROU,Cecilia Andra Anghel,Andra Cecilia Anghel,iof-exact,exact,2,"2011/long.csv, 2011/sprint.csv",,
approve,ROU,Tetisan Anca,Anca Tetisan,iof-exact,exact,2,"2012/long.csv, 2012/sprint.csv",,
approve,ROU,Vigh Lorand,Lorand Vigh,iof-exact,exact,2,"2017/long.csv, 2017/relay.csv",,
approve,ROU,Andra Celcilia Angel,Andra Cecilia Anghel,iof-exact,exact,1,2008/relay.csv,,
approve,ROU,Barkasz Daniel,Daniel Barkasz,iof-exact,exact,1,2010/relay.csv,,
approve,ROU,Szocsattila,Attila Szocs,iof-exact,exact,1,2016/sprint.csv,,
approve,ROU,Tintar Mihai Andrei,Mihai Andrei Tintar,iof-exact,exact,1,2014/relay.csv,,
