IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
32304;Stuart;Engleback;NZL;1292;3418;4;854.5;
17684;Anders;Vedin;SWE;1293;3417;3;1139.0;
40722;Jonas;Gronli;NOR;1294;3415;3;1138.3;
42033;David;Saupe;GER;1295;3413;3;1137.7;
22411;Oskar;Leinonen;SWE;1296;3412;3;1137.3;
44535;Artiom;Babici;MDA;1296;3412;4;853.0;
40559;Valdemar;Marager;DEN;1298;3410;4;852.5;
34082;Lukas;Vitebsky;CZE;1299;3405;3;1135.0;
45018;Dmitrii;Arabadji;MDA;1299;3405;4;851.3;
52918;Jesper;Akesson;SWE;1301;3400;3;1133.3;
47059;Adam;Zridkavesely;CZE;1302;3398;3;1132.7;
40519;Filip;Trofast;SWE;1303;3397;3;1132.3;
34777;Sindre R;Holt;NOR;1304;3394;3;1131.3;
12388;Jani;Lakanen;FIN;1304;3394;3;1131.3;
31539;David;Veleda Diaz;ESP;1306;3393;4;848.3;
33633;Tymofii;Teremetskyi;UKR;1307;3391;3;1130.3;
16292;Antonio;Silva;BRA;1308;3389;5;677.8;
11329;Andris;Jubelis;LAT;1309;3388;3;1129.3;
10153;Fernando;Gruhn;BRA;1310;3384;5;676.8;
16346;Martin;Simpson;EST;1311;3383;3;1127.7;
44689;Jan;Stepanek;CZE;1311;3383;3;1127.7;
44529;Joschka;Bertschi;SUI;1313;3382;3;1127.3;
37840;Milan;Malacka;CZE;1314;3381;3;1127.0;
17500;Tomas;Udrzal;CZE;1315;3380;3;1126.7;
50821;Finn;Alabor;SUI;1316;3378;3;1126.0;
46452;Zhuoye;Li;CHN;1317;3377;3;1125.7;
51211;Jonas;Bassin;BRA;1318;3376;4;844.0;
24596;Erik;Almkvist;SWE;1319;3365;3;1121.7;
21130;Sing Wai;Li;HKG;1320;3360;4;840.0;
13949;Tuomo;Makela;FIN;1320;3360;3;1120.0;
37407;Adrien;Fradet;FRA;1320;3360;3;1120.0;
28594;Otakar;Hirs;CZE;1323;3359;3;1119.7;
11349;Tomasz;Jurczyk;POL;1323;3359;3;1119.7;
52041;August;Hellerud Sire;NOR;1325;3358;3;1119.3;
44331;Hector;Sanchis Pont;ESP;1326;3357;3;1119.0;
10166;Matthias;Groell;AUT;1327;3355;3;1118.3;
22955;Hakon;Christiansen;NOR;1328;3353;3;1117.7;
52328;Pelle;Nilsson;SWE;1329;3351;3;1117.0;
11954;Darius;Konotopetz;CAN;1329;3351;5;670.2;
18035;Juho;Westerlund;FIN;1331;3350;3;1116.7;
41339;Nico;Kerkola;FIN;1332;3346;3;1115.3;
44591;Niels;Elton Jokumsen;DEN;1333;3345;3;1115.0;
53246;Ludvig;Karlqvist;SWE;1334;3344;3;1114.7;
18102;Ben;Windsor;GBR;1335;3342;3;1114.0;
22799;Michal;Kalata;POL;1336;3341;3;1113.7;
41265;Ondrej;Pipek;CZE;1337;3338;3;1112.7;
42144;Baptiste;Delorme;FRA;1337;3338;3;1112.7;
43692;Cooper;Horley;AUS;1337;3338;3;1112.7;
16027;Alexander;Schwab;SUI;1340;3336;3;1112.0;
30001;Mattis;Hallberg;SWE;1341;3335;3;1111.7;
12553;Tiago;Gingao Leal;POR;1341;3335;3;1111.7;
49669;Oskar;Vikstrom;SWE;1343;3331;3;1110.3;
17533;Radu;Urdea;ROU;1344;3330;5;666.0;
18881;Adam;Chloupek;CZE;1345;3327;3;1109.0;
35515;Io Pan;Wong;HKG;1346;3326;5;665.2;
22719;Simon;Lundin;SWE;1347;3324;3;1108.0;
53237;Theo;Lovdahl;SWE;1347;3324;3;1108.0;
8965;Kuba;Dragowski;POL;1349;3320;3;1106.7;
17216;Alistair;Thornton;GBR;1350;3317;3;1105.7;
52797;Johannes;Zander;GER;1351;3316;4;829.0;
20528;Freddie;Carcas;GBR;1352;3315;3;1105.0;
53938;Eino Juhani;Oltedal;NOR;1353;3309;4;827.3;
14127;Simen;Eid Nielsen;NOR;1354;3303;3;1101.0;
7276;Jonas;Madslien Bakken;NOR;1355;3302;3;1100.7;
46811;Eddie;Swain;NZL;1356;3300;3;1100.0;
42481;Miron;Rulka;POL;1356;3300;3;1100.0;
37548;Michael;Soerensen;DEN;1356;3300;3;1100.0;
21060;Jeronym;Kamenicky;CZE;1359;3299;3;1099.7;
37278;Thomas Emil;Jensen;DEN;1360;3297;4;824.3;
40841;Hannes;Holmback;FIN;1361;3296;3;1098.7;
25328;Tomas;Graham;CAN;1362;3294;4;823.5;
44966;Ota;Skvor;CZE;1363;3290;3;1096.7;
23885;Paul;Fluckiger;SUI;1364;3289;3;1096.3;
11300;Lawrence;Jones;GBR;1364;3289;4;822.3;
9178;Matthew;Elkington;GBR;1364;3289;3;1096.3;
47108;Vaino;Haara;FIN;1367;3283;3;1094.3;
15524;James;Robertson;AUS;1367;3283;3;1094.3;
40431;John Kasper;Svergja;NOR;1369;3274;3;1091.3;
13830;Nicholas;Morgan;GBR;1370;3267;3;1089.0;
