IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
41299;Roosa;Heikkinen;FIN;610;4385;4;1096.3;
47109;Isabella;Lillqvist;FIN;611;4384;4;1096.0;
3614;Ingvild;Maalen Johansen;NOR;612;4383;4;1095.8;
5007;Hanna;Paulava;IIA;613;4375;4;1093.8;
40698;Yaelle;Stampbach;SUI;614;4372;5;874.4;
28138;Svitlana;Kobets;UKR;615;4369;4;1092.3;
44588;Frida Karner;Grooss;DEN;616;4366;4;1091.5;
40217;Mariana;Wonhnrath Boldrin;BRA;617;4361;5;872.2;
41751;Kateryna;Kropyvnytska;UKR;618;4359;4;1089.8;
1120;Andrea;Danila Zinca;ROU;619;4352;5;870.4;
2070;Zoe;Harding;GBR;620;4351;4;1087.8;
45345;Man Hei Meri;Yau;HKG;621;4345;5;869.0;
27546;Isabel;Donner;FIN;622;4342;4;1085.5;
49537;Sophie;KentPurcell;CAN;623;4336;5;867.2;
33967;Iva;Kavankova;CZE;624;4334;4;1083.5;
23926;Essi;Rautasalo;FIN;625;4326;4;1081.5;
37453;Agnese;Jaunmuktane;LAT;625;4326;4;1081.5;
46702;Ruth;Gooch;GBR;627;4321;4;1080.3;
43200;Emma;Crawford;GBR;628;4318;4;1079.5;
19871;Luca;Nemeth;HUN;629;4317;4;1079.3;
86;Esmeralda;Ruiz Alonso;ESP;630;4309;4;1077.3;
28187;Heidi;Mikkola;FIN;631;4307;4;1076.8;
22720;Sanna;Ylikyla;FIN;632;4297;4;1074.3;
54972;Maija;Pajari;FIN;633;4292;4;1073.0;
3982;Tamsin;Moran;GBR;634;4289;4;1072.3;
2062;Shuangyan;Hao;CHN;635;4285;4;1071.3;
42832;Elise;Vanel;FRA;636;4280;4;1070.0;
3551;Wai Lan Iris;Lui;HKG;637;4276;5;855.2;
45960;Ana;Castanheiro;POR;638;4266;5;853.2;
41707;Emese;Szilagyi;HUN;639;4257;4;1064.3;
36842;Melania;Tinelli;ITA;639;4257;5;851.4;
42356;Irene;Guerrero;ESP;641;4207;4;1051.8;
34140;Agnieszka;Mazurek;POL;642;4194;4;1048.5;
45956;Heather;High;GBR;643;4192;4;1048.0;
37826;Aimee;Darley;GBR;644;4188;5;837.6;
44503;Nea;Erzen;SLO;645;4179;4;1044.8;
1654;Charmaine;Fung;HKG;646;4172;5;834.4;
38059;Pui Yuet;Siu;HKG;647;4157;5;831.4;
47119;Giulia;Fignon;ITA;648;4149;4;1037.3;
25013;Maria;Soriano Ramal;ESP;649;4148;4;1037.0;
44701;Airi;Shibasaki;JPN;650;4134;4;1033.5;
25937;Annamaria;Raduly;ROU;651;4131;5;826.2;
50067;Essi;Jokilammi;FIN;652;4129;4;1032.3;
815;Alison;Campbell;USA;653;4126;4;1031.5;
43049;Olha;Leonchuk;UKR;654;4124;4;1031.0;
53271;Embla;Bergstrom;SWE;655;4123;4;1030.8;
23164;Tonje Aasheim;Nymark;NOR;656;4117;4;1029.3;
38023;Yoyo;You;HKG;657;4109;5;821.8;
24106;Aurora;Fossoy;NOR;658;4100;4;1025.0;
43190;Issy;Sunley;GBR;659;4099;4;1024.8;
44488;Sophie;Kraus;GER;660;4091;4;1022.8;
44230;Eve;Buckley;IRL;661;4085;4;1021.3;
44725;Iryna;Klymeniuk;UKR;662;4081;4;1020.3;
49591;Samira;Habermacher;SUI;663;4080;4;1020.0;
51447;Anna Ibolya;Pozna;HUN;664;4078;4;1019.5;
49594;Viviane;Seiz;SUI;665;4073;4;1018.3;
50852;Elisabeth;Bieri;SUI;666;4069;4;1017.3;
43248;Vilte;Kanapinskaite;LTU;667;4061;5;812.2;
19026;Vilija;Gvildiene;LTU;668;4059;4;1014.8;
1028;Marija;Cosic;SRB;669;4055;4;1013.8;
20364;Elaine;Lenz;BRA;670;4052;5;810.4;
42365;Alba;Munoz del Campo;ESP;671;4050;4;1012.5;
36987;Roosa;Ruoti;FIN;671;4050;4;1012.5;
47831;Joke;Zoons;BEL;673;4049;5;809.8;
4452;Carmen;Patino Deniz;ESP;674;4044;4;1011.0;
28276;Alice;Selem;ITA;675;4041;4;1010.3;
37437;Olha;Sereda;UKR;676;4025;4;1006.3;
44418;Lyra;Medlock;GBR;677;4009;4;1002.3;
42267;Ivana;Pedeva;BUL;678;3995;4;998.8;
50750;Mia;Smith;CAN;679;3971;4;992.8;
2538;Sarka;Jelinkova;CZE;680;3970;4;992.5;
42266;Raya;Asenova;BUL;681;3969;4;992.3;
41073;Cristina;Otero Dominguez;ESP;682;3958;4;989.5;
20241;Wakana;Miyamoto;JPN;683;3947;4;986.8;
41983;Sarah;Rooman;BEL;684;3944;4;986.0;
43842;Hanna;Johannesson;SWE;685;3941;4;985.3;
44724;Buse;Acil;TUR;686;3939;5;787.8;
37924;Lorely;Korvel;EST;687;3930;4;982.5;
